/usr/lib/python3/dist-packages/gpiozero/devices.py:279: PinFactoryFallback: Falling back from rpigpio: A different mode has already been set!
  'Falling back from %s: %s' % (name, str(e))))
/usr/lib/python3/dist-packages/gpiozero/devices.py:279: PinFactoryFallback: Falling back from rpio: No module named 'RPIO'
  'Falling back from %s: %s' % (name, str(e))))
/usr/lib/python3/dist-packages/gpiozero/devices.py:279: PinFactoryFallback: Falling back from pigpio: No module named 'pigpio'
  'Falling back from %s: %s' % (name, str(e))))
2019-10-24 23:38:30,014 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - MqttCore initialized
2019-10-24 23:38:30,015 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Client id: yUp3qLUftKGGY01XdcL5
2019-10-24 23:38:30,016 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Protocol version: MQTTv3.1.1
2019-10-24 23:38:30,016 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Authentication type: TLSv1.2 certificate based Mutual Auth.
2019-10-24 23:38:30,017 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Configuring offline requests queueing: max queue size: 0
2019-10-24 23:38:30,021 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Configuring offline requests queue draining interval: 0.100000 sec
2019-10-24 23:38:30,024 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Configuring endpoint...
2019-10-24 23:38:30,024 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Configuring certificates...
2019-10-24 23:38:30,026 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Configuring reconnect back off timing...
2019-10-24 23:38:30,027 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Base quiet time: 1.000000 sec
2019-10-24 23:38:30,028 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Max quiet time: 32.000000 sec
2019-10-24 23:38:30,029 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Stable connection time: 20.000000 sec
2019-10-24 23:38:30,030 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Configuring connect/disconnect time out: 10.000000 sec
2019-10-24 23:38:30,030 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Configuring MQTT operation time out: 5.000000 sec
2019-10-24 23:38:30,031 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync connect...
2019-10-24 23:38:30,032 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing async connect...
2019-10-24 23:38:30,032 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Keep-alive: 600.000000 sec
2019-10-24 23:38:30,714 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync subscribe...
2019-10-24 23:38:32,821 - AWSIoTPythonSDK.core.shadow.deviceShadow - INFO - Subscribed to delta topic for deviceShadow: yUp3qLUftKGGY01XdcL5
2019-10-24 23:38:33,723 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync subscribe...
2019-10-24 23:38:33,826 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync subscribe...
2019-10-24 23:38:35,942 - AWSIoTPythonSDK.core.shadow.deviceShadow - INFO - Subscribed to update accepted/rejected topics for deviceShadow: yUp3qLUftKGGY01XdcL5
2019-10-24 23:38:35,943 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync publish...
2019-10-24 23:38:36,482 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync publish...
2019-10-24 23:39:14,098 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync publish...
2019-10-24 23:39:19,899 - AWSIoTPythonSDK.core.protocol.mqtt_core - INFO - Performing sync publish...
